"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
452b080c-7e2d-44bd-a144-3ee6d99f81b9,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,dc11fe1a-382b-4825-8789-45f544420dc9,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
4e14b5ad-ccb3-4d43-b6ac-42b6db20d60e,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,53951281-39d5-49cd-a6b2-efd63744124f,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
4e5ea29a-9b5d-43dc-9f54-6d3f5259c3fa,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,483f719a-7b55-4467-a25f-909eef70a923,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
547e06b3-82a2-4e5b-bd3f-433a484432f7,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,1e236f53-0299-4ae0-9d76-cb1ca63bf645,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
6a0ee4eb-3056-4e5a-8713-0e13c65b33a7,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,3b122c22-fe38-4070-b1b8-389ccfb25d28,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
70a5998e-abb6-4c4a-ac50-dcb9766d86ff,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",08fe66e7-26df-45aa-96b6-dd87bb0cdf32,"#N/A","#N/A",10.0,23828010-976b-4a5c-97f0-d73cc432d073,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
7e63acc5-c731-477b-9eed-69f7f77536e1,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,929ca389-3fb4-4eca-84a1-a9d9753333fe,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
81fa9c30-22cc-466a-b39b-13c8a8aa30e0,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",cc5e5f5f-8d11-4fe2-a4a6-d1aad3d4e2c2,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",7acb05c5-c521-427a-a1de-2588d5474eab,"#N/A","#N/A",12.0,9c329b4d-acb4-4d53-b5ce-e4e40b2bf2a6,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
849589b5-2c24-478b-be57-1e4c89af2613,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,f0d579a9-9ef4-4e08-98b6-d8a8f0e023df,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
88bc66ae-406b-4e89-b8f7-54680945ba85,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",e23ed245-6a49-48b2-95cf-927bcf07feb1,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dc0eb2e6-e49a-4f60-9f76-5b2c8318e100,"#N/A","#N/A",10.0,02f2d4f2-088d-4b5e-bfe8-8985dc620f72,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
