"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
93564a13-6371-48b9-b20c-3165b393d28f,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,"#N/A",997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
94919a7e-366b-4fd2-9b2e-970b3a6e7bd0,Ungroup,Ungroup,true,false,ungroupBtn,All,false,"#N/A",906.0,onUngroup,"#N/A","#N/A",Ungroup,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
94b655fa-4581-43a6-8b4e-738bf7a542f4,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",952.0,updateLineOptional,"#N/A","#N/A",Optional: All,Group,"#N/A",Quote Line Editor,0344d31f-7289-4c3c-bb57-10047a00cbb2,"#N/A","#N/A",Button,"#N/A","#N/A"
96c8ac2f-512b-49cb-a913-e74356d224ba,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,"#N/A",996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
9d9b13aa-0f54-4d20-b51c-81bf06747787,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,"#N/A",902.0,onUpgradeAssets,"#N/A","#N/A",Upgrade Assets,Quote/Group,"#N/A",Quote Line Editor,0344d31f-7289-4c3c-bb57-10047a00cbb2,"#N/A","#N/A",Button,"#N/A","#N/A"
9effe64f-85ad-4651-bf53-1b17c4002cd8,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
ab56bce0-4100-468e-85e4-f272cc764df2,Delete Line,Delete Line,true,false,deleteBtn,All,false,"#N/A",994.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
b578e8cc-2f01-4b30-a605-43855d3a45a6,Save,Save,true,true,saveBtn,All,false,"#N/A",916.0,onSave,"#N/A","#N/A",Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
bb337b3b-b4a8-45a7-a5e1-261b4f38dc46,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,"#N/A",907.0,onDeleteLines,"#N/A","#N/A",Delete Lines,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
c1154f8b-9ce7-400c-ab51-421677127442,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",953.0,updateLineOptional,"#N/A","#N/A",Optional: None,Group,"#N/A",Quote Line Editor,0344d31f-7289-4c3c-bb57-10047a00cbb2,"#N/A","#N/A",Button,"#N/A","#N/A"
c38fdcd1-691e-43d3-93b9-49637763be7e,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",915.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
c4f23ccd-0262-4e51-99c2-99667ff105cc,Clone Line,Clone Line,true,false,cloneBtn,All,false,"#N/A",993.0,onCloneLine,sf-icon-copy,copy,Clone Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
d89d39b2-47d2-47c0-9866-c810f8ea740b,Add To Favorites,Add To Favorites,true,false,addToFavBtn,All,false,"#N/A",990.0,onAddToFavorites,sb-icon-star-empty,star-empty,Add To Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
dc1e29c3-0a66-4752-8539-aebf0ef83c68,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",911.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
efc9b6af-a740-4e34-ba27-e41064509923,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",904.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
f286b8cc-8de6-4bf2-9081-b4ed55c2589d,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,"#N/A",903.0,onRenewSubscriptions,"#N/A","#N/A",Renew Subscriptions,Quote/Group,"#N/A",Quote Line Editor,0344d31f-7289-4c3c-bb57-10047a00cbb2,"#N/A","#N/A",Button,"#N/A","#N/A"
fbde675c-fed5-4f68-ba2a-cfdec53219a3,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,"#N/A",901.0,onAmendSubscriptions,"#N/A","#N/A",Amend Subscriptions,Quote/Group,"#N/A",Quote Line Editor,0344d31f-7289-4c3c-bb57-10047a00cbb2,"#N/A","#N/A",Button,"#N/A","#N/A"
