"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
21e0368f-5c1b-4601-a9b5-3070f69339d8,Bottom,"#N/A",0.0,false,"#N/A",717a5bee-0856-4164-b88a-4912c5343c39,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,0.0
bc72ac76-1032-4d8b-9541-442dafa71275,Top,"#N/A",0.0,false,"#N/A",f4642f13-78b1-486d-b7be-1f64e57465bc,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,0.0
cb959720-8ed0-424b-9b30-b940b4e00082,Lines,"#N/A",0.0,false,"#N/A",2b774e02-c0c9-48a7-b572-2de3b65269b4,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",84b5d277-008e-4f0e-aaff-377e9cf3a016,0.0
