"Guid","SBQQ__FilterType__c","SBQQ__FilterValue__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedVariable__c"
3a2a5fb1-1c29-49dc-9a9a-dbcc40bc0195,Value,5,"#N/A","#N/A",less than,6879c871-8796-40cc-972a-50a440f613a9,"#N/A",Unit Price,Product Option,"#N/A"
f188f28f-62bd-4305-bfc8-4a7de86df18b,Variable,"#N/A",0c48ea88-c650-4ae2-9265-a3530702857c,"#N/A",less than,6879c871-8796-40cc-972a-50a440f613a9,"#N/A",Group Line Items,Quote,"#N/A"
